(
  (0 0 111 "Shanai" "Ethnic")
  (0 0 112 "Tinkle Bell" "Percussive")
  (0 0 113 "Agogo" "Percussive")
  (0 0 114 "Steel Drums" "Percussive")
  (0 0 115 "Woodblock"  "Percussive")
  (0 0 116 "Taiko Drum"  "Percussive")
  (0 0 117 "Melodic Tom"  "Percussive")
  (0 0 118 "Synth Drum"  "Percussive")
  (0 0 119 "Reverse Cymbal" "Sound Effects")
  (0 0 120 "Guitar Fret Noise" "Sound Effects")
  (0 0 121 "Breath Noise" "Sound Effects")
  (0 0 122 "Seashore" "Sound Effects")
  (0 0 123 "Bird Tweet" "Sound Effects")
  (0 0 124 "Telephone Ring" "Sound Effects")
  (0 0 125 "Helicopter" "Sound Effects")
  (0 0 126 "Applause" "Sound Effects")
  (0 0 127 "Gunshot" "Sound Effects")
)
